asset,tf,leverage,channel,sl_atr,rr,adx_min,rsi,macd,return_pct,monthly_pct,wr,actual_rr,trades,tpd,liqs,ev
XRPUSDT,1h,10,12,2.0,3.0,25,off,on,121.31,3.373,10.34,5.009,29,0.04,0,-0.3783
XRPUSDT,1h,10,12,2.0,3.0,25,on,on,121.31,3.373,10.34,5.009,29,0.04,0,-0.3783
XRPUSDT,1h,15,12,2.0,3.0,25,on,on,121.31,3.373,10.34,5.009,29,0.04,0,-0.3783
XRPUSDT,1h,20,12,2.0,3.0,25,on,on,121.31,3.373,10.34,5.009,29,0.04,0,-0.3783
XRPUSDT,1h,5,8,2.0,2.5,25,off,off,120.55,3.358,14.71,4.541,34,0.047,0,-0.1851
XRPUSDT,1h,15,8,1.5,2.5,25,on,on,120.46,3.356,39.92,1.355,248,0.34,8,-0.0599
XRPUSDT,1h,15,8,1.5,2.5,25,off,on,120.46,3.356,39.92,1.355,248,0.34,8,-0.0599
ETHUSDT,1h,15,8,1.5,2.5,off,on,off,119.87,3.345,29.33,2.748,75,0.103,0,0.0994
ETHUSDT,1h,20,8,1.5,2.5,off,on,off,119.87,3.345,29.33,2.748,75,0.103,0,0.0994
ETHUSDT,1h,10,16,2.0,2.5,25,on,on,119.19,3.331,40.62,1.245,384,0.527,3,-0.0881
ETHUSDT,1h,10,16,2.0,2.5,25,off,on,119.19,3.331,40.62,1.245,384,0.527,3,-0.0881
ETHUSDT,1h,20,8,1.5,2.0,25,off,off,117.72,3.302,41.57,1.265,433,0.594,8,-0.0584
ETHUSDT,1h,20,12,1.5,3.0,25,off,off,117.34,3.295,35.79,1.234,380,0.521,9,-0.2004
ETHUSDT,1h,15,12,2.0,3.0,25,off,off,117.23,3.292,39.35,1.239,371,0.509,5,-0.1188
ADAUSDT,1h,10,16,2.0,2.0,off,off,off,116.63,3.281,40.92,1.32,369,0.506,9,-0.0508
ADAUSDT,1h,10,16,2.0,2.0,off,on,off,116.63,3.281,40.92,1.32,369,0.506,9,-0.0508
ETHUSDT,1h,10,12,2.0,3.0,25,on,off,114.64,3.241,38.76,1.222,387,0.531,3,-0.1388
ETHUSDT,1h,5,16,2.0,3.0,20,off,on,114.59,3.24,36.96,1.262,395,0.542,0,-0.1638
ETHUSDT,1h,5,16,2.0,3.0,20,on,on,114.59,3.24,36.96,1.262,395,0.542,0,-0.1638
ETHUSDT,1h,15,12,2.0,3.0,25,on,off,114.61,3.24,38.73,1.218,395,0.542,5,-0.1407
ETHUSDT,1h,10,12,2.0,3.0,25,off,off,114.13,3.23,39.35,1.233,371,0.509,3,-0.1212
XRPUSDT,1h,20,16,1.5,3.0,25,on,off,113.76,3.223,34.58,1.379,240,0.329,21,-0.1772
XRPUSDT,1h,20,16,1.5,3.0,25,off,off,113.76,3.223,34.58,1.379,240,0.329,21,-0.1772
XRPUSDT,1h,10,8,2.0,2.0,25,on,on,113.55,3.219,43.09,1.415,246,0.337,5,0.0408
XRPUSDT,1h,10,8,2.0,2.0,25,off,on,113.55,3.219,43.09,1.415,246,0.337,5,0.0408
